timestamp,Modesto_kWh,Justin_kWh,Ileana_kWh,Estela_kWh,airTemperature,dewTemperature,windSpeed,seaLvlPressure,hour,day_of_week,is_weekend,month,week_of_year
2016-03-26 12:00:00,731.775,758.7080000000003,28.0,346.0,11.5,10.5,8.8,1003.6,12,5,1,3,12
2016-03-26 13:00:00,741.2180000000003,753.148,27.0,341.0,11.4,11.0,8.8,1002.5,13,5,1,3,12
2016-03-26 14:00:00,739.735,748.3389999999997,27.0,347.0,12.4,10.9,9.3,1001.3,14,5,1,3,12
2016-03-26 15:00:00,735.035,773.346,27.0,344.0,12.7,11.6,9.8,999.8,15,5,1,3,12
2016-03-26 16:00:00,746.5260000000003,813.085,28.0,346.0,13.4,11.9,10.3,998.2,16,5,1,3,12
2016-03-26 17:00:00,741.8810000000003,769.289,27.0,338.0,12.9,12.2,11.3,996.9,17,5,1,3,12
2016-03-26 18:00:00,742.1289999999997,715.052,28.0,332.0,13.1,11.4,10.8,996.0,18,5,1,3,12
2016-03-26 19:00:00,738.699,695.087,26.0,306.0,9.2,8.1,9.8,998.2,19,5,1,3,12
2016-03-26 20:00:00,738.515,617.443,27.0,307.0,8.4,7.1,6.7,998.8,20,5,1,3,12
2016-03-26 21:00:00,730.2130000000003,580.0419999999998,27.0,310.0,8.7,6.2,8.8,999.2,21,5,1,3,12
2016-03-26 22:00:00,716.8960000000003,577.5269999999998,26.0,303.0,8.3,6.0,6.2,999.6,22,5,1,3,12
2016-03-26 23:00:00,709.722,584.1519999999998,27.0,299.0,8.3,6.2,6.2,999.9,23,5,1,3,12
2016-03-27 00:00:00,707.8739999999997,575.226,25.0,293.0,7.8,5.4,4.6,999.8,0,6,1,3,12
2016-03-27 01:00:00,402.8698,344.8823,19.0,224.0,7.1,4.1,5.7,1000.9,1,6,1,3,12
2016-03-27 02:00:00,300.6132,238.7767,6.0,74.0,6.3,3.9,4.1,1000.9,2,6,1,3,12
2016-03-27 03:00:00,698.873,573.855,25.0,301.0,5.8,4.2,2.6,1000.6,3,6,1,3,12
2016-03-27 04:00:00,696.8639999999997,576.804,24.0,297.0,5.8,4.5,4.1,1000.8,4,6,1,3,12
2016-03-27 05:00:00,695.38,571.641,25.0,300.0,5.8,4.3,4.6,1000.7,5,6,1,3,12
2016-03-27 06:00:00,694.067,570.286,25.0,295.0,6.6,4.7,6.2,1000.9,6,6,1,3,12
2016-03-27 07:00:00,696.939,576.906,25.0,294.0,6.6,5.1,5.7,1001.0,7,6,1,3,12
2016-03-27 08:00:00,706.113,631.3009999999998,26.0,301.0,7.4,5.6,5.1,1001.2,8,6,1,3,12
2016-03-27 09:00:00,719.0310000000003,658.7660000000002,26.0,308.0,9.0,5.1,7.7,1001.2,9,6,1,3,12
2016-03-27 10:00:00,715.123,693.8589999999997,25.0,326.0,10.4,5.6,9.8,1000.6,10,6,1,3,12
2016-03-27 11:00:00,722.987,697.4689999999997,26.0,329.0,7.3,5.7,7.7,1000.9,11,6,1,3,12
2016-03-27 12:00:00,730.745,726.328,25.0,329.0,10.1,6.5,9.8,1000.6,12,6,1,3,12
2016-03-27 13:00:00,720.557,711.893,26.0,338.0,6.9,5.5,10.3,1001.1,13,6,1,3,12
2016-03-27 14:00:00,725.308,704.293,26.0,345.0,9.5,6.3,9.8,1000.4,14,6,1,3,12
2016-03-27 15:00:00,728.5369999999997,699.273,27.0,334.0,10.4,4.0,10.3,999.7,15,6,1,3,12
2016-03-27 16:00:00,730.659,714.548,26.0,335.0,10.8,3.6,11.8,999.1,16,6,1,3,12
2016-03-27 17:00:00,740.1060000000001,675.336,26.0,331.0,10.3,3.9,9.8,999.2,17,6,1,3,12
2016-03-27 18:00:00,731.528,619.5880000000002,25.0,326.0,8.8,6.2,8.2,999.2,18,6,1,3,12
2016-03-27 19:00:00,722.9860000000001,615.621,25.0,323.0,8.0,6.3,5.7,998.5,19,6,1,3,12
2016-03-27 20:00:00,731.068,599.33,27.0,334.0,7.5,6.0,4.6,997.6,20,6,1,3,12
2016-03-27 21:00:00,727.83,588.994,27.0,321.0,8.2,7.4,4.6,995.9,21,6,1,3,12
2016-03-27 22:00:00,720.63,576.42,27.0,301.0,8.4,7.5,7.2,993.7,22,6,1,3,12
2016-03-27 23:00:00,710.3660000000001,563.727,26.0,295.0,8.5,7.4,9.3,990.9,23,6,1,3,12
2016-03-28 00:00:00,794.4662,609.3334,34.9066,335.3702,7.6,6.8,11.3,988.4,0,0,0,3,13
2016-03-28 01:00:00,883.6754,653.6097,41.8131,378.7405,7.2,6.1,13.9,985.1,1,0,0,3,13
2016-03-28 02:00:00,883.6754,653.6097,41.8131,378.7405,8.1,7.2,11.8,982.7,2,0,0,3,13
2016-03-28 03:00:00,883.6754,653.6097,41.8131,378.7405,8.8,7.4,11.8,980.1,3,0,0,3,13
2016-03-28 04:00:00,883.6754,653.6097,41.8131,378.7405,10.0,8.3,12.9,976.4,4,0,0,3,13
2016-03-28 05:00:00,883.6754,653.6097,41.8131,378.7405,9.1,6.2,14.4,,5,0,0,3,13
2016-03-28 06:00:00,883.6754,653.6097,41.8131,378.7405,6.7,4.5,14.4,,6,0,0,3,13
2016-03-28 07:00:00,883.6754,653.6097,41.8131,378.7405,4.0,3.0,18.5,979.5,7,0,0,3,13
2016-03-28 08:00:00,883.6754,653.6097,41.8131,378.7405,5.7,4.3,15.4,984.1,8,0,0,3,13
2016-03-28 09:00:00,883.6754,653.6097,41.8131,378.7405,7.2,4.7,12.9,987.0,9,0,0,3,13
2016-03-28 10:00:00,883.6754,653.6097,41.8131,378.7405,9.7,4.1,12.4,988.6,10,0,0,3,13
2016-03-28 11:00:00,883.6754,653.6097,41.8131,378.7405,9.5,2.5,12.4,990.0,11,0,0,3,13
2016-03-28 12:00:00,883.6754,653.6097,41.8131,378.7405,10.7,1.3,12.4,991.3,12,0,0,3,13
2016-03-28 13:00:00,883.6754,653.6097,41.8131,378.7405,11.4,-0.5,11.8,992.1,13,0,0,3,13
2016-03-28 14:00:00,883.6754,653.6097,41.8131,378.7405,12.2,1.5,10.8,992.6,14,0,0,3,13
2016-03-28 15:00:00,883.6754,653.6097,41.8131,378.7405,11.6,1.2,7.2,992.8,15,0,0,3,13
2016-03-28 16:00:00,883.6754,653.6097,41.8131,378.7405,7.8,5.3,8.8,993.6,16,0,0,3,13
2016-03-28 17:00:00,883.6754,653.6097,41.8131,378.7405,8.8,5.4,4.1,993.7,17,0,0,3,13
2016-03-28 18:00:00,883.6754,653.6097,41.8131,378.7405,8.3,5.5,4.6,994.5,18,0,0,3,13
2016-03-28 19:00:00,883.6754,653.6097,41.8131,378.7405,6.8,4.8,5.1,995.0,19,0,0,3,13
2016-03-28 20:00:00,883.6754,653.6097,41.8131,378.7405,6.3,4.7,5.7,995.9,20,0,0,3,13
2016-03-28 21:00:00,883.6754,653.6097,41.8131,378.7405,6.2,4.5,6.2,996.7,21,0,0,3,13
2016-03-28 22:00:00,883.6754,653.6097,41.8131,378.7405,5.9,4.6,5.7,997.3,22,0,0,3,13
2016-03-28 23:00:00,883.6754,653.6097,41.8131,378.7405,5.2,3.9,4.1,998.0,23,0,0,3,13
2016-03-29 00:00:00,883.6754,653.6097,41.8131,378.7405,4.6,3.5,2.6,998.5,0,1,0,3,13
2016-03-29 01:00:00,883.6754,653.6097,41.8131,378.7405,4.6,3.6,3.1,998.9,1,1,0,3,13
2016-03-29 02:00:00,883.6754,653.6097,41.8131,378.7405,5.6,4.3,5.7,999.2,2,1,0,3,13
2016-03-29 03:00:00,883.6754,653.6097,41.8131,378.7405,6.1,4.5,6.2,999.9,3,1,0,3,13
2016-03-29 04:00:00,883.6754,653.6097,41.8131,378.7405,5.9,4.0,6.7,1000.4,4,1,0,3,13
2016-03-29 05:00:00,883.6754,653.6097,41.8131,378.7405,6.1,4.0,6.2,1000.9,5,1,0,3,13
2016-03-29 06:00:00,883.6754,653.6097,41.8131,378.7405,5.8,3.5,5.1,1001.7,6,1,0,3,13
2016-03-29 07:00:00,883.6754,653.6097,41.8131,378.7405,6.3,3.6,6.2,1002.3,7,1,0,3,13
2016-03-29 08:00:00,883.6754,653.6097,41.8131,378.7405,7.5,3.5,6.7,1002.7,8,1,0,3,13
2016-03-29 09:00:00,883.6754,653.6097,41.8131,378.7405,9.2,3.6,7.7,1003.2,9,1,0,3,13
2016-03-29 10:00:00,883.6754,653.6097,41.8131,378.7405,10.0,2.6,8.8,1003.8,10,1,0,3,13
2016-03-29 11:00:00,883.6754,653.6097,41.8131,378.7405,8.8,3.1,7.7,1003.9,11,1,0,3,13
2016-03-29 12:00:00,883.6754,653.6097,41.8131,378.7405,12.1,1.4,9.3,1004.4,12,1,0,3,13
2016-03-29 13:00:00,883.6754,653.6097,41.8131,378.7405,12.4,0.4,8.8,1004.7,13,1,0,3,13
2016-03-29 14:00:00,883.6754,653.6097,41.8131,378.7405,11.8,0.6,6.2,1004.5,14,1,0,3,13
2016-03-29 15:00:00,883.6754,653.6097,41.8131,378.7405,11.6,0.4,7.7,1004.2,15,1,0,3,13
2016-03-29 16:00:00,883.6754,653.6097,41.8131,378.7405,10.3,3.1,7.2,1003.9,16,1,0,3,13
2016-03-29 17:00:00,883.6754,653.6097,41.8131,378.7405,7.2,6.1,6.2,1003.7,17,1,0,3,13
2016-03-29 18:00:00,883.6754,653.6097,41.8131,378.7405,6.6,5.4,8.2,1003.5,18,1,0,3,13
2016-03-29 19:00:00,883.6754,653.6097,41.8131,378.7405,7.1,5.6,4.6,1003.1,19,1,0,3,13
2016-03-29 20:00:00,883.6754,653.6097,41.8131,378.7405,6.9,6.0,4.6,1003.6,20,1,0,3,13
2016-03-29 21:00:00,883.6754,653.6097,41.8131,378.7405,6.3,4.9,5.1,1004.1,21,1,0,3,13
2016-03-29 22:00:00,883.6754,653.6097,41.8131,378.7405,6.0,4.7,3.6,1004.6,22,1,0,3,13
2016-03-29 23:00:00,883.6754,653.6097,41.8131,378.7405,5.5,4.4,3.1,1005.0,23,1,0,3,13
2016-03-30 00:00:00,883.6754,653.6097,41.8131,378.7405,5.6,4.3,4.6,1004.9,0,2,0,3,13
2016-03-30 01:00:00,883.6754,653.6097,41.8131,378.7405,5.7,4.0,5.1,1004.9,1,2,0,3,13
2016-03-30 02:00:00,883.6754,653.6097,41.8131,378.7405,5.3,4.0,4.1,1005.2,2,2,0,3,13
2016-03-30 03:00:00,883.6754,653.6097,41.8131,378.7405,4.9,3.8,3.1,1005.1,3,2,0,3,13
2016-03-30 04:00:00,883.6754,653.6097,41.8131,378.7405,4.7,3.8,3.1,1005.4,4,2,0,3,13
2016-03-30 05:00:00,883.6754,653.6097,41.8131,378.7405,5.2,3.7,5.1,1005.8,5,2,0,3,13
2016-03-30 06:00:00,883.6754,653.6097,41.8131,378.7405,4.9,3.6,5.1,1006.5,6,2,0,3,13
2016-03-30 07:00:00,883.6754,653.6097,41.8131,378.7405,5.6,3.8,5.1,1007.1,7,2,0,3,13
2016-03-30 08:00:00,883.6754,653.6097,41.8131,378.7405,7.0,4.6,5.1,1007.7,8,2,0,3,13
2016-03-30 09:00:00,883.6754,653.6097,41.8131,378.7405,8.3,4.2,5.1,1008.3,9,2,0,3,13
2016-03-30 10:00:00,883.6754,653.6097,41.8131,378.7405,9.6,4.0,5.7,1008.6,10,2,0,3,13
2016-03-30 11:00:00,883.6754,653.6097,41.8131,378.7405,11.4,4.7,6.2,1008.9,11,2,0,3,13
2016-03-30 12:00:00,883.6754,653.6097,41.8131,378.7405,11.9,3.1,6.7,1008.9,12,2,0,3,13
2016-03-30 13:00:00,883.6754,653.6097,41.8131,378.7405,11.0,4.1,4.6,1009.2,13,2,0,3,13
2016-03-30 14:00:00,883.6754,653.6097,41.8131,378.7405,12.5,4.2,4.1,1008.9,14,2,0,3,13
2016-03-30 15:00:00,883.6754,653.6097,41.8131,378.7405,12.3,1.0,3.1,1008.7,15,2,0,3,13
2016-03-30 16:00:00,883.6754,653.6097,41.8131,378.7405,12.0,3.4,5.1,1008.7,16,2,0,3,13
2016-03-30 17:00:00,883.6754,653.6097,41.8131,378.7405,11.9,3.3,3.1,1009.0,17,2,0,3,13
2016-03-30 18:00:00,883.6754,653.6097,41.8131,378.7405,11.2,1.7,3.1,1009.4,18,2,0,3,13
2016-03-30 19:00:00,883.6754,653.6097,41.8131,378.7405,10.2,3.2,2.1,1009.9,19,2,0,3,13
2016-03-30 20:00:00,883.6754,653.6097,41.8131,378.7405,8.8,3.1,1.5,1010.5,20,2,0,3,13
2016-03-30 21:00:00,883.6754,653.6097,41.8131,378.7405,8.6,4.4,2.1,1011.1,21,2,0,3,13
2016-03-30 22:00:00,883.6754,653.6097,41.8131,378.7405,8.1,4.5,2.1,1011.5,22,2,0,3,13
2016-03-30 23:00:00,883.6754,653.6097,41.8131,378.7405,7.5,3.1,2.1,1011.8,23,2,0,3,13
2016-03-31 00:00:00,883.6754,653.6097,41.8131,378.7405,6.7,3.3,2.1,1012.1,0,3,0,3,13
2016-03-31 01:00:00,883.6754,653.6097,41.8131,378.7405,5.8,3.5,1.0,1012.3,1,3,0,3,13
2016-03-31 02:00:00,883.6754,653.6097,41.8131,378.7405,5.4,3.3,1.0,1012.5,2,3,0,3,13
2016-03-31 03:00:00,883.6754,653.6097,41.8131,378.7405,4.9,2.8,0.5,1012.8,3,3,0,3,13
2016-03-31 04:00:00,883.6754,653.6097,41.8131,378.7405,4.8,2.6,0.5,1013.4,4,3,0,3,13
2016-03-31 05:00:00,883.6754,653.6097,41.8131,378.7405,5.1,2.6,1.0,1013.8,5,3,0,3,13
2016-03-31 06:00:00,883.6754,653.6097,41.8131,378.7405,5.2,2.3,2.1,1014.1,6,3,0,3,13
2016-03-31 07:00:00,883.6754,653.6097,41.8131,378.7405,5.5,2.6,2.6,1014.9,7,3,0,3,13
2016-03-31 08:00:00,883.6754,653.6097,41.8131,378.7405,7.2,3.0,3.1,1015.5,8,3,0,3,13
2016-03-31 09:00:00,883.6754,653.6097,41.8131,378.7405,8.5,2.6,3.1,1015.8,9,3,0,3,13
2016-03-31 10:00:00,883.6754,653.6097,41.8131,378.7405,9.4,2.1,4.1,1016.0,10,3,0,3,13
2016-03-31 11:00:00,883.6754,653.6097,41.8131,378.7405,9.9,1.5,3.1,1016.1,11,3,0,3,13
2016-03-31 12:00:00,883.6754,653.6097,41.8131,378.7405,11.1,1.2,2.1,1015.7,12,3,0,3,13
2016-03-31 13:00:00,883.6754,653.6097,41.8131,378.7405,11.5,1.3,3.1,1015.4,13,3,0,3,13
2016-03-31 14:00:00,883.6754,653.6097,41.8131,378.7405,11.4,0.4,3.6,1015.6,14,3,0,3,13
2016-03-31 15:00:00,883.6754,653.6097,41.8131,378.7405,11.8,-0.3,3.6,1015.6,15,3,0,3,13
2016-03-31 16:00:00,883.6754,653.6097,41.8131,378.7405,11.9,0.3,3.1,1015.9,16,3,0,3,13
2016-03-31 17:00:00,883.6754,653.6097,41.8131,378.7405,11.9,-0.1,3.6,1016.2,17,3,0,3,13
2016-03-31 18:00:00,883.6754,653.6097,41.8131,378.7405,11.1,1.4,1.5,1016.8,18,3,0,3,13
2016-03-31 19:00:00,883.6754,653.6097,41.8131,378.7405,10.2,0.8,2.1,1017.3,19,3,0,3,13
2016-03-31 20:00:00,883.6754,653.6097,41.8131,378.7405,7.3,2.9,3.6,1018.6,20,3,0,3,13
2016-03-31 21:00:00,883.6754,653.6097,41.8131,378.7405,7.7,3.3,2.1,1019.2,21,3,0,3,13
2016-03-31 22:00:00,883.6754,653.6097,41.8131,378.7405,5.7,3.0,0.5,1019.2,22,3,0,3,13
2016-03-31 23:00:00,883.6754,653.6097,41.8131,378.7405,5.5,3.2,0.5,1019.2,23,3,0,3,13
2016-04-01 00:00:00,883.6754,653.6097,41.8131,378.7405,4.1,2.8,0.5,1019.5,0,4,0,4,13
2016-04-01 01:00:00,883.6754,653.6097,41.8131,378.7405,3.7,2.6,0.5,1020.0,1,4,0,4,13
2016-04-01 02:00:00,883.6754,653.6097,41.8131,378.7405,3.2,2.3,0.5,1020.6,2,4,0,4,13
2016-04-01 03:00:00,883.6754,653.6097,41.8131,378.7405,2.6,1.8,0.5,1020.8,3,4,0,4,13
2016-04-01 04:00:00,883.6754,653.6097,41.8131,378.7405,2.0,1.5,1.0,1020.7,4,4,0,4,13
2016-04-01 05:00:00,883.6754,653.6097,41.8131,378.7405,1.2,0.7,1.5,1020.6,5,4,0,4,13
2016-04-01 06:00:00,883.6754,653.6097,41.8131,378.7405,2.5,1.9,1.0,1020.7,6,4,0,4,13
2016-04-01 07:00:00,883.6754,653.6097,41.8131,378.7405,4.1,2.2,2.1,1020.8,7,4,0,4,13
2016-04-01 08:00:00,883.6754,653.6097,41.8131,378.7405,6.3,3.2,4.6,1020.5,8,4,0,4,13
2016-04-01 09:00:00,883.6754,653.6097,41.8131,378.7405,8.7,2.2,4.1,1020.5,9,4,0,4,13
2016-04-01 10:00:00,883.6754,653.6097,41.8131,378.7405,11.0,3.2,5.7,1020.6,10,4,0,4,13
2016-04-01 11:00:00,883.6754,653.6097,41.8131,378.7405,11.6,4.8,6.2,1020.4,11,4,0,4,13
2016-04-01 12:00:00,883.6754,653.6097,41.8131,378.7405,12.1,4.3,6.7,1019.9,12,4,0,4,13
2016-04-01 13:00:00,883.6754,653.6097,41.8131,378.7405,12.4,3.2,7.2,1019.2,13,4,0,4,13
2016-04-01 14:00:00,883.6754,653.6097,41.8131,378.7405,12.0,4.0,7.2,1018.6,14,4,0,4,13
2016-04-01 15:00:00,883.6754,653.6097,41.8131,378.7405,12.1,4.2,7.2,1018.1,15,4,0,4,13
2016-04-01 16:00:00,883.6754,653.6097,41.8131,378.7405,11.9,3.8,7.2,1017.5,16,4,0,4,13
2016-04-01 17:00:00,883.6754,653.6097,41.8131,378.7405,11.2,0.3,7.2,1017.2,17,4,0,4,13
2016-04-01 18:00:00,883.6754,653.6097,41.8131,378.7405,10.7,1.1,6.2,1017.1,18,4,0,4,13
2016-04-01 19:00:00,883.6754,653.6097,41.8131,378.7405,9.9,1.6,5.7,1017.2,19,4,0,4,13
2016-04-01 20:00:00,883.6754,653.6097,41.8131,378.7405,9.5,2.4,5.1,1017.1,20,4,0,4,13
2016-04-01 21:00:00,883.6754,653.6097,41.8131,378.7405,9.0,4.2,4.6,1017.0,21,4,0,4,13
2016-04-01 22:00:00,883.6754,653.6097,41.8131,378.7405,8.4,4.8,3.1,1016.8,22,4,0,4,13
2016-04-01 23:00:00,883.6754,653.6097,41.8131,378.7405,8.2,4.6,3.1,1016.4,23,4,0,4,13
2016-04-02 00:00:00,883.6754,653.6097,41.8131,378.7405,8.3,4.0,3.1,1016.0,0,5,1,4,13
2016-04-02 01:00:00,883.6754,653.6097,41.8131,378.7405,8.5,3.7,3.6,1015.7,1,5,1,4,13
2016-04-02 02:00:00,883.6754,653.6097,41.8131,378.7405,8.2,3.2,2.1,1015.0,2,5,1,4,13
2016-04-02 03:00:00,883.6754,653.6097,41.8131,378.7405,8.7,3.4,3.1,1014.5,3,5,1,4,13
2016-04-02 04:00:00,883.6754,653.6097,41.8131,378.7405,8.6,4.2,3.6,1014.1,4,5,1,4,13
2016-04-02 05:00:00,883.6754,653.6097,41.8131,378.7405,8.1,4.6,4.1,1014.1,5,5,1,4,13
2016-04-02 06:00:00,883.6754,653.6097,41.8131,378.7405,8.0,5.1,4.1,1014.0,6,5,1,4,13
2016-04-02 07:00:00,883.6754,653.6097,41.8131,378.7405,9.4,5.6,3.6,1014.0,7,5,1,4,13
2016-04-02 08:00:00,883.6754,653.6097,41.8131,378.7405,10.3,5.3,4.6,1014.2,8,5,1,4,13
2016-04-02 09:00:00,883.6754,653.6097,41.8131,378.7405,11.8,1.5,5.1,1014.1,9,5,1,4,13
2016-04-02 10:00:00,883.6754,653.6097,41.8131,378.7405,12.7,2.1,6.2,1014.0,10,5,1,4,13
2016-04-02 11:00:00,883.6754,653.6097,41.8131,378.7405,13.9,2.2,5.7,1013.5,11,5,1,4,13
2016-04-02 12:00:00,883.6754,653.6097,41.8131,378.7405,14.4,2.6,4.6,1012.8,12,5,1,4,13
2016-04-02 13:00:00,883.6754,653.6097,41.8131,378.7405,14.0,0.8,5.7,1012.3,13,5,1,4,13
2016-04-02 14:00:00,883.6754,653.6097,41.8131,378.7405,13.8,-0.2,5.1,1011.1,14,5,1,4,13
2016-04-02 15:00:00,883.6754,653.6097,41.8131,378.7405,13.7,0.1,3.6,1010.2,15,5,1,4,13
2016-04-02 16:00:00,883.6754,653.6097,41.8131,378.7405,12.9,0.1,3.1,1009.2,16,5,1,4,13
2016-04-02 17:00:00,883.6754,653.6097,41.8131,378.7405,11.1,3.4,4.6,1009.5,17,5,1,4,13
2016-04-02 18:00:00,883.6754,653.6097,41.8131,378.7405,9.4,4.6,5.1,1009.6,18,5,1,4,13
