timestamp,Modesto_kWh,airTemperature,dewTemperature,windSpeed,hour,day_of_week,is_weekend,month
2016-03-26 12:00:00,731.775,11.5,10.5,8.8,12,5,1,3
2016-03-26 13:00:00,741.2180000000003,11.4,11.0,8.8,13,5,1,3
2016-03-26 14:00:00,739.735,12.4,10.9,9.3,14,5,1,3
2016-03-26 15:00:00,735.035,12.7,11.6,9.8,15,5,1,3
2016-03-26 16:00:00,746.5260000000003,13.4,11.9,10.3,16,5,1,3
2016-03-26 17:00:00,741.8810000000003,12.9,12.2,11.3,17,5,1,3
2016-03-26 18:00:00,742.1289999999997,13.1,11.4,10.8,18,5,1,3
2016-03-26 19:00:00,738.699,9.2,8.1,9.8,19,5,1,3
2016-03-26 20:00:00,738.515,8.4,7.1,6.7,20,5,1,3
2016-03-26 21:00:00,730.2130000000003,8.7,6.2,8.8,21,5,1,3
2016-03-26 22:00:00,716.8960000000003,8.3,6.0,6.2,22,5,1,3
2016-03-26 23:00:00,709.722,8.3,6.2,6.2,23,5,1,3
2016-03-27 00:00:00,707.8739999999997,7.8,5.4,4.6,0,6,1,3
2016-03-27 01:00:00,402.8698,7.1,4.1,5.7,1,6,1,3
2016-03-27 02:00:00,300.6132,6.3,3.9,4.1,2,6,1,3
2016-03-27 03:00:00,698.873,5.8,4.2,2.6,3,6,1,3
2016-03-27 04:00:00,696.8639999999997,5.8,4.5,4.1,4,6,1,3
2016-03-27 05:00:00,695.38,5.8,4.3,4.6,5,6,1,3
2016-03-27 06:00:00,694.067,6.6,4.7,6.2,6,6,1,3
2016-03-27 07:00:00,696.939,6.6,5.1,5.7,7,6,1,3
2016-03-27 08:00:00,706.113,7.4,5.6,5.1,8,6,1,3
2016-03-27 09:00:00,719.0310000000003,9.0,5.1,7.7,9,6,1,3
2016-03-27 10:00:00,715.123,10.4,5.6,9.8,10,6,1,3
2016-03-27 11:00:00,722.987,7.3,5.7,7.7,11,6,1,3
2016-03-27 12:00:00,730.745,10.1,6.5,9.8,12,6,1,3
2016-03-27 13:00:00,720.557,6.9,5.5,10.3,13,6,1,3
2016-03-27 14:00:00,725.308,9.5,6.3,9.8,14,6,1,3
2016-03-27 15:00:00,728.5369999999997,10.4,4.0,10.3,15,6,1,3
2016-03-27 16:00:00,730.659,10.8,3.6,11.8,16,6,1,3
2016-03-27 17:00:00,740.1060000000001,10.3,3.9,9.8,17,6,1,3
2016-03-27 18:00:00,731.528,8.8,6.2,8.2,18,6,1,3
2016-03-27 19:00:00,722.9860000000001,8.0,6.3,5.7,19,6,1,3
2016-03-27 20:00:00,731.068,7.5,6.0,4.6,20,6,1,3
2016-03-27 21:00:00,727.83,8.2,7.4,4.6,21,6,1,3
2016-03-27 22:00:00,720.63,8.4,7.5,7.2,22,6,1,3
2016-03-27 23:00:00,710.3660000000001,8.5,7.4,9.3,23,6,1,3
2016-03-28 00:00:00,794.4662,7.6,6.8,11.3,0,0,0,3
2016-03-28 01:00:00,883.6754,7.2,6.1,13.9,1,0,0,3
2016-03-28 02:00:00,883.6754,8.1,7.2,11.8,2,0,0,3
2016-03-28 03:00:00,883.6754,8.8,7.4,11.8,3,0,0,3
2016-03-28 04:00:00,883.6754,10.0,8.3,12.9,4,0,0,3
2016-03-28 05:00:00,883.6754,9.1,6.2,14.4,5,0,0,3
2016-03-28 06:00:00,883.6754,6.7,4.5,14.4,6,0,0,3
2016-03-28 07:00:00,883.6754,4.0,3.0,18.5,7,0,0,3
2016-03-28 08:00:00,883.6754,5.7,4.3,15.4,8,0,0,3
2016-03-28 09:00:00,883.6754,7.2,4.7,12.9,9,0,0,3
2016-03-28 10:00:00,883.6754,9.7,4.1,12.4,10,0,0,3
2016-03-28 11:00:00,883.6754,9.5,2.5,12.4,11,0,0,3
2016-03-28 12:00:00,883.6754,10.7,1.3,12.4,12,0,0,3
2016-03-28 13:00:00,883.6754,11.4,-0.5,11.8,13,0,0,3
2016-03-28 14:00:00,883.6754,12.2,1.5,10.8,14,0,0,3
2016-03-28 15:00:00,883.6754,11.6,1.2,7.2,15,0,0,3
2016-03-28 16:00:00,883.6754,7.8,5.3,8.8,16,0,0,3
2016-03-28 17:00:00,883.6754,8.8,5.4,4.1,17,0,0,3
2016-03-28 18:00:00,883.6754,8.3,5.5,4.6,18,0,0,3
2016-03-28 19:00:00,883.6754,6.8,4.8,5.1,19,0,0,3
2016-03-28 20:00:00,883.6754,6.3,4.7,5.7,20,0,0,3
2016-03-28 21:00:00,883.6754,6.2,4.5,6.2,21,0,0,3
2016-03-28 22:00:00,883.6754,5.9,4.6,5.7,22,0,0,3
2016-03-28 23:00:00,883.6754,5.2,3.9,4.1,23,0,0,3
2016-03-29 00:00:00,883.6754,4.6,3.5,2.6,0,1,0,3
2016-03-29 01:00:00,883.6754,4.6,3.6,3.1,1,1,0,3
2016-03-29 02:00:00,883.6754,5.6,4.3,5.7,2,1,0,3
2016-03-29 03:00:00,883.6754,6.1,4.5,6.2,3,1,0,3
2016-03-29 04:00:00,883.6754,5.9,4.0,6.7,4,1,0,3
2016-03-29 05:00:00,883.6754,6.1,4.0,6.2,5,1,0,3
2016-03-29 06:00:00,883.6754,5.8,3.5,5.1,6,1,0,3
2016-03-29 07:00:00,883.6754,6.3,3.6,6.2,7,1,0,3
2016-03-29 08:00:00,883.6754,7.5,3.5,6.7,8,1,0,3
2016-03-29 09:00:00,883.6754,9.2,3.6,7.7,9,1,0,3
2016-03-29 10:00:00,883.6754,10.0,2.6,8.8,10,1,0,3
2016-03-29 11:00:00,883.6754,8.8,3.1,7.7,11,1,0,3
2016-03-29 12:00:00,883.6754,12.1,1.4,9.3,12,1,0,3
2016-03-29 13:00:00,883.6754,12.4,0.4,8.8,13,1,0,3
2016-03-29 14:00:00,883.6754,11.8,0.6,6.2,14,1,0,3
2016-03-29 15:00:00,883.6754,11.6,0.4,7.7,15,1,0,3
2016-03-29 16:00:00,883.6754,10.3,3.1,7.2,16,1,0,3
2016-03-29 17:00:00,883.6754,7.2,6.1,6.2,17,1,0,3
2016-03-29 18:00:00,883.6754,6.6,5.4,8.2,18,1,0,3
2016-03-29 19:00:00,883.6754,7.1,5.6,4.6,19,1,0,3
2016-03-29 20:00:00,883.6754,6.9,6.0,4.6,20,1,0,3
2016-03-29 21:00:00,883.6754,6.3,4.9,5.1,21,1,0,3
2016-03-29 22:00:00,883.6754,6.0,4.7,3.6,22,1,0,3
2016-03-29 23:00:00,883.6754,5.5,4.4,3.1,23,1,0,3
2016-03-30 00:00:00,883.6754,5.6,4.3,4.6,0,2,0,3
2016-03-30 01:00:00,883.6754,5.7,4.0,5.1,1,2,0,3
2016-03-30 02:00:00,883.6754,5.3,4.0,4.1,2,2,0,3
2016-03-30 03:00:00,883.6754,4.9,3.8,3.1,3,2,0,3
2016-03-30 04:00:00,883.6754,4.7,3.8,3.1,4,2,0,3
2016-03-30 05:00:00,883.6754,5.2,3.7,5.1,5,2,0,3
2016-03-30 06:00:00,883.6754,4.9,3.6,5.1,6,2,0,3
2016-03-30 07:00:00,883.6754,5.6,3.8,5.1,7,2,0,3
2016-03-30 08:00:00,883.6754,7.0,4.6,5.1,8,2,0,3
2016-03-30 09:00:00,883.6754,8.3,4.2,5.1,9,2,0,3
2016-03-30 10:00:00,883.6754,9.6,4.0,5.7,10,2,0,3
2016-03-30 11:00:00,883.6754,11.4,4.7,6.2,11,2,0,3
2016-03-30 12:00:00,883.6754,11.9,3.1,6.7,12,2,0,3
2016-03-30 13:00:00,883.6754,11.0,4.1,4.6,13,2,0,3
2016-03-30 14:00:00,883.6754,12.5,4.2,4.1,14,2,0,3
2016-03-30 15:00:00,883.6754,12.3,1.0,3.1,15,2,0,3
2016-03-30 16:00:00,883.6754,12.0,3.4,5.1,16,2,0,3
2016-03-30 17:00:00,883.6754,11.9,3.3,3.1,17,2,0,3
2016-03-30 18:00:00,883.6754,11.2,1.7,3.1,18,2,0,3
2016-03-30 19:00:00,883.6754,10.2,3.2,2.1,19,2,0,3
2016-03-30 20:00:00,883.6754,8.8,3.1,1.5,20,2,0,3
2016-03-30 21:00:00,883.6754,8.6,4.4,2.1,21,2,0,3
2016-03-30 22:00:00,883.6754,8.1,4.5,2.1,22,2,0,3
2016-03-30 23:00:00,883.6754,7.5,3.1,2.1,23,2,0,3
2016-03-31 00:00:00,883.6754,6.7,3.3,2.1,0,3,0,3
2016-03-31 01:00:00,883.6754,5.8,3.5,1.0,1,3,0,3
2016-03-31 02:00:00,883.6754,5.4,3.3,1.0,2,3,0,3
2016-03-31 03:00:00,883.6754,4.9,2.8,0.5,3,3,0,3
2016-03-31 04:00:00,883.6754,4.8,2.6,0.5,4,3,0,3
2016-03-31 05:00:00,883.6754,5.1,2.6,1.0,5,3,0,3
2016-03-31 06:00:00,883.6754,5.2,2.3,2.1,6,3,0,3
2016-03-31 07:00:00,883.6754,5.5,2.6,2.6,7,3,0,3
2016-03-31 08:00:00,883.6754,7.2,3.0,3.1,8,3,0,3
2016-03-31 09:00:00,883.6754,8.5,2.6,3.1,9,3,0,3
2016-03-31 10:00:00,883.6754,9.4,2.1,4.1,10,3,0,3
2016-03-31 11:00:00,883.6754,9.9,1.5,3.1,11,3,0,3
2016-03-31 12:00:00,883.6754,11.1,1.2,2.1,12,3,0,3
2016-03-31 13:00:00,883.6754,11.5,1.3,3.1,13,3,0,3
2016-03-31 14:00:00,883.6754,11.4,0.4,3.6,14,3,0,3
2016-03-31 15:00:00,883.6754,11.8,-0.3,3.6,15,3,0,3
2016-03-31 16:00:00,883.6754,11.9,0.3,3.1,16,3,0,3
2016-03-31 17:00:00,883.6754,11.9,-0.1,3.6,17,3,0,3
2016-03-31 18:00:00,883.6754,11.1,1.4,1.5,18,3,0,3
2016-03-31 19:00:00,883.6754,10.2,0.8,2.1,19,3,0,3
2016-03-31 20:00:00,883.6754,7.3,2.9,3.6,20,3,0,3
2016-03-31 21:00:00,883.6754,7.7,3.3,2.1,21,3,0,3
2016-03-31 22:00:00,883.6754,5.7,3.0,0.5,22,3,0,3
2016-03-31 23:00:00,883.6754,5.5,3.2,0.5,23,3,0,3
2016-04-01 00:00:00,883.6754,4.1,2.8,0.5,0,4,0,4
2016-04-01 01:00:00,883.6754,3.7,2.6,0.5,1,4,0,4
2016-04-01 02:00:00,883.6754,3.2,2.3,0.5,2,4,0,4
2016-04-01 03:00:00,883.6754,2.6,1.8,0.5,3,4,0,4
2016-04-01 04:00:00,883.6754,2.0,1.5,1.0,4,4,0,4
2016-04-01 05:00:00,883.6754,1.2,0.7,1.5,5,4,0,4
2016-04-01 06:00:00,883.6754,2.5,1.9,1.0,6,4,0,4
2016-04-01 07:00:00,883.6754,4.1,2.2,2.1,7,4,0,4
2016-04-01 08:00:00,883.6754,6.3,3.2,4.6,8,4,0,4
2016-04-01 09:00:00,883.6754,8.7,2.2,4.1,9,4,0,4
2016-04-01 10:00:00,883.6754,11.0,3.2,5.7,10,4,0,4
2016-04-01 11:00:00,883.6754,11.6,4.8,6.2,11,4,0,4
2016-04-01 12:00:00,883.6754,12.1,4.3,6.7,12,4,0,4
2016-04-01 13:00:00,883.6754,12.4,3.2,7.2,13,4,0,4
2016-04-01 14:00:00,883.6754,12.0,4.0,7.2,14,4,0,4
2016-04-01 15:00:00,883.6754,12.1,4.2,7.2,15,4,0,4
2016-04-01 16:00:00,883.6754,11.9,3.8,7.2,16,4,0,4
2016-04-01 17:00:00,883.6754,11.2,0.3,7.2,17,4,0,4
2016-04-01 18:00:00,883.6754,10.7,1.1,6.2,18,4,0,4
2016-04-01 19:00:00,883.6754,9.9,1.6,5.7,19,4,0,4
2016-04-01 20:00:00,883.6754,9.5,2.4,5.1,20,4,0,4
2016-04-01 21:00:00,883.6754,9.0,4.2,4.6,21,4,0,4
2016-04-01 22:00:00,883.6754,8.4,4.8,3.1,22,4,0,4
2016-04-01 23:00:00,883.6754,8.2,4.6,3.1,23,4,0,4
2016-04-02 00:00:00,883.6754,8.3,4.0,3.1,0,5,1,4
2016-04-02 01:00:00,883.6754,8.5,3.7,3.6,1,5,1,4
2016-04-02 02:00:00,883.6754,8.2,3.2,2.1,2,5,1,4
2016-04-02 03:00:00,883.6754,8.7,3.4,3.1,3,5,1,4
2016-04-02 04:00:00,883.6754,8.6,4.2,3.6,4,5,1,4
2016-04-02 05:00:00,883.6754,8.1,4.6,4.1,5,5,1,4
2016-04-02 06:00:00,883.6754,8.0,5.1,4.1,6,5,1,4
2016-04-02 07:00:00,883.6754,9.4,5.6,3.6,7,5,1,4
2016-04-02 08:00:00,883.6754,10.3,5.3,4.6,8,5,1,4
2016-04-02 09:00:00,883.6754,11.8,1.5,5.1,9,5,1,4
2016-04-02 10:00:00,883.6754,12.7,2.1,6.2,10,5,1,4
2016-04-02 11:00:00,883.6754,13.9,2.2,5.7,11,5,1,4
2016-04-02 12:00:00,883.6754,14.4,2.6,4.6,12,5,1,4
2016-04-02 13:00:00,883.6754,14.0,0.8,5.7,13,5,1,4
2016-04-02 14:00:00,883.6754,13.8,-0.2,5.1,14,5,1,4
2016-04-02 15:00:00,883.6754,13.7,0.1,3.6,15,5,1,4
2016-04-02 16:00:00,883.6754,12.9,0.1,3.1,16,5,1,4
2016-04-02 17:00:00,883.6754,11.1,3.4,4.6,17,5,1,4
2016-04-02 18:00:00,883.6754,9.4,4.6,5.1,18,5,1,4
2016-04-02 19:00:00,883.6754,8.1,6.4,3.6,19,5,1,4
2016-04-02 20:00:00,883.6754,7.7,7.0,3.1,20,5,1,4
2016-04-02 21:00:00,883.6754,7.7,7.4,3.1,21,5,1,4
2016-04-02 22:00:00,883.6754,7.9,7.6,2.6,22,5,1,4
2016-04-02 23:00:00,883.6754,8.0,7.9,3.1,23,5,1,4
2016-04-03 00:00:00,849.4132,8.1,8.0,2.6,0,6,1,4
2016-04-03 01:00:00,887.9465,7.9,7.9,2.1,1,6,1,4
2016-04-03 02:00:00,833.1030000000003,7.9,7.9,2.6,2,6,1,4
2016-04-03 03:00:00,834.346,7.9,7.9,3.1,3,6,1,4
2016-04-03 04:00:00,831.762,7.9,7.5,4.1,4,6,1,4
2016-04-03 05:00:00,837.908,7.4,7.2,2.6,5,6,1,4
2016-04-03 06:00:00,829.803,7.6,7.4,3.1,6,6,1,4
2016-04-03 07:00:00,834.2610000000003,7.7,7.1,4.1,7,6,1,4
2016-04-03 08:00:00,853.6060000000001,9.0,7.8,4.1,8,6,1,4
2016-04-03 09:00:00,855.821,10.5,8.1,3.6,9,6,1,4
2016-04-03 10:00:00,869.2139999999997,11.3,7.9,5.1,10,6,1,4
2016-04-03 11:00:00,876.5210000000003,13.0,8.2,4.1,11,6,1,4
2016-04-03 12:00:00,829.39,13.9,7.3,5.1,12,6,1,4
2016-04-03 13:00:00,838.97,13.7,6.3,4.1,13,6,1,4
2016-04-03 14:00:00,839.373,14.2,7.3,3.1,14,6,1,4
2016-04-03 15:00:00,843.49,14.1,7.0,3.6,15,6,1,4
2016-04-03 16:00:00,852.709,15.5,8.2,4.1,16,6,1,4
2016-04-03 17:00:00,860.068,15.1,6.0,5.1,17,6,1,4
2016-04-03 18:00:00,856.3380000000003,14.8,6.9,4.6,18,6,1,4
2016-04-03 19:00:00,863.796,12.2,10.8,4.1,19,6,1,4
2016-04-03 20:00:00,852.797,12.4,10.3,4.6,20,6,1,4
2016-04-03 21:00:00,831.816,12.1,9.7,3.6,21,6,1,4
2016-04-03 22:00:00,818.289,11.4,9.5,3.6,22,6,1,4
2016-04-03 23:00:00,816.1260000000003,10.9,9.4,3.1,23,6,1,4
2016-04-04 00:00:00,867.1745,9.3,8.8,2.1,0,0,0,4
2016-04-04 01:00:00,919.9961,10.1,9.4,3.1,1,0,0,4
2016-04-04 02:00:00,919.9961,9.9,8.9,4.1,2,0,0,4
2016-04-04 03:00:00,919.9961,9.8,8.2,3.1,3,0,0,4
2016-04-04 04:00:00,919.9961,9.4,7.9,4.1,4,0,0,4
2016-04-04 05:00:00,919.9961,9.0,7.6,3.1,5,0,0,4
2016-04-04 06:00:00,919.9961,8.9,7.6,3.6,6,0,0,4
2016-04-04 07:00:00,919.9961,9.0,7.4,3.6,7,0,0,4
2016-04-04 08:00:00,919.9961,9.5,7.9,4.1,8,0,0,4
2016-04-04 09:00:00,919.9961,10.6,7.6,5.7,9,0,0,4
2016-04-04 10:00:00,919.9961,12.0,7.3,5.1,10,0,0,4
2016-04-04 11:00:00,919.9961,12.2,6.6,5.7,11,0,0,4
2016-04-04 12:00:00,919.9961,12.6,7.2,7.2,12,0,0,4
2016-04-04 13:00:00,919.9961,11.9,9.4,6.7,13,0,0,4
2016-04-04 14:00:00,919.9961,11.9,7.5,6.2,14,0,0,4
2016-04-04 15:00:00,919.9961,12.1,8.9,5.7,15,0,0,4
2016-04-04 16:00:00,919.9961,12.2,9.1,6.2,16,0,0,4
2016-04-04 17:00:00,919.9961,11.5,8.1,5.7,17,0,0,4
2016-04-04 18:00:00,919.9961,11.7,7.7,5.7,18,0,0,4
2016-04-04 19:00:00,919.9961,11.0,6.1,3.6,19,0,0,4
2016-04-04 20:00:00,919.9961,10.0,6.8,3.6,20,0,0,4
2016-04-04 21:00:00,919.9961,9.5,6.8,4.6,21,0,0,4
2016-04-04 22:00:00,919.9961,9.5,7.4,4.1,22,0,0,4
2016-04-04 23:00:00,919.9961,9.0,7.6,3.6,23,0,0,4
2016-04-05 00:00:00,919.9961,8.9,7.8,2.1,0,1,0,4
2016-04-05 01:00:00,919.9961,8.7,7.7,3.1,1,1,0,4
2016-04-05 02:00:00,919.9961,7.9,7.3,2.6,2,1,0,4
2016-04-05 03:00:00,919.9961,8.2,7.7,2.6,3,1,0,4
2016-04-05 04:00:00,919.9961,8.0,7.6,2.1,4,1,0,4
2016-04-05 05:00:00,919.9961,8.0,7.6,2.1,5,1,0,4
2016-04-05 06:00:00,919.9961,7.2,6.6,3.6,6,1,0,4
2016-04-05 07:00:00,919.9961,7.7,7.1,2.6,7,1,0,4
2016-04-05 08:00:00,919.9961,9.5,6.8,3.6,8,1,0,4
2016-04-05 09:00:00,919.9961,10.5,6.2,4.1,9,1,0,4
2016-04-05 10:00:00,919.9961,12.0,7.1,3.6,10,1,0,4
2016-04-05 11:00:00,919.9961,13.2,6.4,4.1,11,1,0,4
2016-04-05 12:00:00,919.9961,13.1,4.6,5.7,12,1,0,4
2016-04-05 13:00:00,919.9961,14.1,3.9,5.7,13,1,0,4
2016-04-05 14:00:00,919.9961,13.5,3.3,6.7,14,1,0,4
2016-04-05 15:00:00,919.9961,15.2,2.2,5.1,15,1,0,4
2016-04-05 16:00:00,919.9961,15.0,1.1,5.7,16,1,0,4
2016-04-05 17:00:00,919.9961,14.0,1.8,4.1,17,1,0,4
2016-04-05 18:00:00,919.9961,13.9,1.4,3.6,18,1,0,4
2016-04-05 19:00:00,919.9961,13.0,1.6,2.6,19,1,0,4
2016-04-05 20:00:00,919.9961,11.2,3.2,3.1,20,1,0,4
2016-04-05 21:00:00,919.9961,10.4,4.2,4.1,21,1,0,4
2016-04-05 22:00:00,919.9961,9.0,3.4,5.7,22,1,0,4
2016-04-05 23:00:00,919.9961,7.8,3.0,4.1,23,1,0,4
2016-04-06 00:00:00,919.9961,7.1,2.3,4.6,0,2,0,4
2016-04-06 01:00:00,919.9961,6.2,2.1,3.1,1,2,0,4
2016-04-06 02:00:00,919.9961,5.9,3.6,3.6,2,2,0,4
2016-04-06 03:00:00,919.9961,5.8,4.2,5.1,3,2,0,4
2016-04-06 04:00:00,919.9961,6.3,4.6,5.7,4,2,0,4
2016-04-06 05:00:00,919.9961,7.1,4.6,5.7,5,2,0,4
2016-04-06 06:00:00,919.9961,7.8,5.3,5.7,6,2,0,4
2016-04-06 07:00:00,919.9961,8.4,7.2,7.2,7,2,0,4
2016-04-06 08:00:00,919.9961,8.7,8.4,6.7,8,2,0,4
2016-04-06 09:00:00,919.9961,10.0,7.9,7.2,9,2,0,4
2016-04-06 10:00:00,919.9961,11.3,7.2,6.7,10,2,0,4
2016-04-06 11:00:00,919.9961,11.8,4.1,7.2,11,2,0,4
2016-04-06 12:00:00,919.9961,11.7,8.0,7.2,12,2,0,4
2016-04-06 13:00:00,919.9961,10.4,6.6,11.3,13,2,0,4
2016-04-06 14:00:00,919.9961,11.6,3.2,8.2,14,2,0,4
2016-04-06 15:00:00,919.9961,10.6,2.6,9.8,15,2,0,4
2016-04-06 16:00:00,919.9961,11.6,0.8,12.4,16,2,0,4
2016-04-06 17:00:00,919.9961,9.6,1.3,11.3,17,2,0,4
2016-04-06 18:00:00,919.9961,9.0,2.2,8.8,18,2,0,4
2016-04-06 19:00:00,919.9961,8.0,1.2,8.2,19,2,0,4
2016-04-06 20:00:00,919.9961,7.6,2.0,8.8,20,2,0,4
2016-04-06 21:00:00,919.9961,7.3,2.4,9.8,21,2,0,4
2016-04-06 22:00:00,919.9961,6.6,2.5,7.2,22,2,0,4
2016-04-06 23:00:00,919.9961,6.3,2.7,6.7,23,2,0,4
2016-04-07 00:00:00,919.9961,5.7,2.7,6.7,0,3,0,4
2016-04-07 01:00:00,919.9961,5.7,2.4,5.7,1,3,0,4
2016-04-07 02:00:00,919.9961,5.1,2.4,5.1,2,3,0,4
2016-04-07 03:00:00,919.9961,5.0,2.1,5.7,3,3,0,4
